date,breadth
2023/2/6,79
2023/2/7,79
2023/2/8,71
2023/2/9,79.8
2023/3/1,68.4
2023/3/10,25.6
2023/3/13,31.8
2023/3/14,26.4
2023/3/15,35.6
2023/3/16,27
2023/3/17,30.4
2023/3/2,67
2023/3/20,29.8
2023/3/21,35.8
2023/3/22,38.2
2023/3/23,44.2
2023/3/24,40.2
2023/3/27,38.6
2023/3/28,39.8
2023/3/29,35.2
2023/3/3,66.2
2023/3/30,40.2
2023/3/31,45.4
2023/3/6,62.6
2023/3/7,40.8
2023/3/8,42.2
2023/3/9,40
2023/4/10,56.4
2023/4/11,57.4
2023/4/12,57.4
2023/4/13,55.2
2023/4/14,56.6
2023/4/17,59.6
2023/4/18,58.6
2023/4/19,49
2023/4/20,44.2
2023/4/21,26.8
2023/4/24,25
2023/4/25,21
2023/4/26,22.4
2023/4/27,28
2023/4/28,36.2
2023/4/3,55
2023/4/4,54.8
2023/4/6,52.8
2023/4/7,57.4
2023/5/10,40.6
2023/5/11,40.2
2023/5/12,35.6
2023/5/15,40
2023/5/16,38.4
2023/5/17,38.2
2023/5/18,38.4
2023/5/19,37
2023/5/22,42.6
2023/5/23,34.6
2023/5/24,29
2023/5/25,26.8
2023/5/26,31.2
2023/5/29,30.2
2023/5/30,32.2
2023/5/31,28.4
2023/5/4,42.6
2023/5/5,38.4
2023/5/8,43.6
2023/5/9,39.8
2023/6/1,30.4
2023/6/12,41.2
2023/6/13,41.4
2023/6/14,41
2023/6/15,53.6
2023/6/16,61
2023/6/19,50.2
2023/6/2,40.4
2023/6/20,44
2023/6/21,31.2
2023/6/26,20.6
2023/6/27,30.8
2023/6/28,34.4
2023/6/29,32.8
2023/6/30,46
2023/6/5,40.4
2023/6/6,25.4
2023/6/7,28.6
2023/6/8,30.2
2023/6/9,34.2
2023/7/10,57.8
2023/7/11,65.4
2023/7/12,51.4
2023/7/13,65.8
2023/7/14,60
2023/7/17,53.4
2023/7/18,54.4
2023/7/19,54.6
2023/7/20,47
2023/7/21,49.8
2023/7/24,45.6
2023/7/25,61.4
2023/7/26,57.2
2023/7/27,51
2023/7/28,60.2
2023/7/3,62
2023/7/31,66
2023/7/4,64
2023/7/5,57.2
2023/7/6,51
2023/7/7,50.8
2023/8/1,64
2023/8/10,51.6
2023/8/11,27.6
2023/8/14,27.4
2023/8/15,22.8
2023/8/16,19.4
2023/8/17,21.4
2023/8/18,13.2
2023/8/2,61.4
2023/8/21,8.4
2023/8/22,10.2
2023/8/23,7.6
2023/8/24,9
2023/8/25,9.4
2023/8/28,17.4
2023/8/29,29.4
2023/8/3,61
2023/8/30,32
2023/8/31,30.4
2023/8/4,64.6
2023/8/7,60.6
2023/8/8,57.4
2023/8/9,50.2
2023/9/1,32.2
2023/9/11,52.6
2023/9/12,56.4
2023/9/13,45
2023/9/14,43.2
2023/9/15,46
2023/9/18,50.4
2023/9/19,43.4
2023/9/20,36
2023/9/21,27
2023/9/22,40.4
2023/9/25,32
2023/9/26,27.6
2023/9/27,32.2
2023/9/28,34
2023/9/4,51.4
2023/9/5,46.4
2023/9/6,49.2
2023/9/7,34.6
2023/9/8,37.4
2024/1/10,24.6
2024/1/11,33.4
2024/1/12,36.4
2024/1/15,35.4
2024/1/16,35
2024/1/17,19.4
2024/1/18,16.6
2024/1/19,13.8
2024/1/2,49.6
2024/1/22,5
2024/1/23,8
2024/1/24,14.6
2024/1/25,35.8
2024/1/26,38.8
2024/1/29,30
2024/1/3,49.8
2024/1/30,19
2024/1/31,13.4
2024/1/4,41.8
2024/1/5,33
2024/1/8,19.6
2024/1/9,23.4
2024/10/10,99
2024/10/11,98.2
2024/10/14,99
2024/10/15,96.6
2024/10/16,95.2
2024/10/17,92
2024/10/18,96.6
2024/10/21,95.8
2024/10/22,97.4
2024/10/23,95.8
2024/10/24,91
2024/10/25,90.4
2024/10/28,89.4
2024/10/29,76.2
2024/10/30,63.4
2024/10/31,62.2
2024/10/8,99.6
2024/10/9,98.6
2024/11/1,49.8
2024/11/11,89.2
2024/11/12,86.6
2024/11/13,85
2024/11/14,62.8
2024/11/15,36
2024/11/18,29.8
2024/11/19,35.6
2024/11/20,45.8
2024/11/21,39.4
2024/11/22,13.4
2024/11/25,13.6
2024/11/26,9.4
2024/11/27,16.4
2024/11/28,14.2
2024/11/29,22.8
2024/11/4,64.2
2024/11/5,84.8
2024/11/6,82.4
2024/11/7,91.4
2024/11/8,91.4
2024/12/10,64.2
2024/12/11,75.8
2024/12/12,83.4
2024/12/13,58.8
2024/12/16,45.6
2024/12/17,34.6
2024/12/18,41.4
2024/12/19,38.4
2024/12/2,37.6
2024/12/20,38
2024/12/23,21.8
2024/12/24,30.6
2024/12/25,27.6
2024/12/26,29
2024/12/27,33.4
2024/12/3,39.2
2024/12/30,34.8
2024/12/31,18.8
2024/12/4,28.6
2024/12/5,36.4
2024/12/6,55
2024/12/9,51.6
2024/2/1,10.2
2024/2/19,83.6
2024/2/2,8.4
2024/2/20,82.2
2024/2/21,87.8
2024/2/22,91.2
2024/2/23,95.4
2024/2/26,94.8
2024/2/27,97.2
2024/2/28,94
2024/2/29,98.2
2024/2/5,10
2024/2/6,33.4
2024/2/7,71.8
2024/2/8,83.4
