date,close,turnover
2022-11-17,4.415,1.1
2022-11-18,4.402,0.9
2022-11-21,4.369,0.72
2022-11-22,4.367,0.9
2022-11-23,4.37,0.76
2022-11-24,4.352,0.67
2022-11-25,4.373,0.76
2022-11-28,4.328,0.87
2022-11-29,4.444,1.0
2022-11-30,4.447,0.64
2022-12-01,4.492,0.88
2022-12-02,4.469,1.43
2022-12-05,4.54,1.22
2022-12-06,4.563,1.06
2022-12-07,4.551,0.95
2022-12-08,4.56,0.71
2022-12-09,4.594,0.9
2022-12-12,4.552,0.65
2022-12-13,4.541,0.51
2022-12-14,4.551,0.86
2022-12-15,4.549,0.74
2022-12-16,4.553,1.26
2022-12-19,4.495,1.04
2022-12-20,4.432,1.13
2022-12-21,4.429,0.73
2022-12-22,4.437,0.96
2022-12-23,4.427,1.51
2022-12-26,4.436,0.9
2022-12-27,4.483,0.81
2022-12-28,4.47,0.9
2022-12-29,4.458,1.0
2022-12-30,4.474,0.88
2023-01-03,4.485,0.91
2023-01-04,4.49,1.36
2023-01-05,4.565,1.08
2023-01-06,4.581,0.75
2023-01-09,4.606,1.08
2023-01-10,4.612,1.03
2023-01-11,4.612,0.79
2023-01-12,4.618,0.45
2023-01-13,4.68,0.91
2023-01-16,4.743,2.38
2023-01-17,4.739,0.84
2023-01-18,4.73,0.62
2023-01-19,4.758,0.84
2023-01-20,4.781,0.79
2023-01-30,4.805,1.11
2023-01-31,4.759,1.58
2023-02-01,4.79,0.99
2023-02-02,4.78,1.39
2023-02-03,4.737,1.33
2023-02-06,4.68,1.02
2023-02-07,4.69,0.77
2023-02-08,4.673,0.64
2023-02-09,4.727,0.83
2023-02-10,4.703,0.72
2023-02-13,4.735,1.15
2023-02-14,4.744,0.46
2023-02-15,4.716,0.9
2023-02-16,4.687,1.1
2023-02-17,4.629,1.03
2023-02-20,4.734,1.46
2023-02-21,4.739,0.78
2023-02-22,4.699,0.63
2023-02-23,4.699,0.65
2023-02-24,4.66,1.12
2023-02-27,4.645,0.63
2023-02-28,4.671,0.67
2023-03-01,4.72,1.64
2023-03-02,4.715,0.61
2023-03-03,4.724,0.58
2023-03-06,4.699,1.29
2023-03-07,4.642,0.94
2023-03-08,4.626,0.6
2023-03-09,4.616,0.57
2023-03-10,4.561,0.69
2023-03-13,4.605,0.65
2023-03-14,4.58,0.64
2023-03-15,4.579,0.55
2023-03-16,4.533,0.6
2023-03-17,4.554,1.56
2023-03-20,4.532,0.79
2023-03-21,4.575,0.77
2023-03-22,4.593,0.81
2023-03-23,4.631,0.74
2023-03-24,4.626,0.35
2023-03-27,4.605,0.68
2023-03-28,4.597,0.7
2023-03-29,4.597,0.86
2023-03-30,4.64,0.77
2023-03-31,4.65,0.93
2023-04-03,4.68,0.77
2023-04-04,4.7,0.67
2023-04-06,4.688,0.53
2023-04-07,4.717,0.46
2023-04-10,4.702,0.66
2023-04-11,4.692,0.74
2023-04-12,4.688,0.47
2023-04-13,4.663,0.56
2023-04-14,4.684,0.63
2023-04-17,4.745,0.88
2023-04-18,4.752,0.58
2023-04-19,4.719,0.57
2023-04-20,4.703,0.84
2023-04-21,4.63,0.95
2023-04-24,4.579,0.83
2023-04-25,4.56,1.34
2023-04-26,4.551,1.26
2023-04-27,4.586,0.65
2023-04-28,4.625,0.63
2023-05-04,4.625,0.47
2023-05-05,4.609,0.47
2023-05-08,4.654,0.95
2023-05-09,4.619,0.79
2023-05-10,4.588,1.27
2023-05-11,4.583,0.45
2023-05-12,4.532,0.72
2023-05-15,4.595,1.13
2023-05-16,4.578,0.57
2023-05-17,4.551,0.89
2023-05-18,4.55,0.97
2023-05-19,4.544,0.47
2023-05-22,4.564,0.7
2023-05-23,4.507,0.85
2023-05-24,4.454,1.07
2023-05-25,4.445,0.68
2023-05-26,4.45,0.62
2023-05-29,4.434,0.56
2023-05-30,4.438,0.79
2023-05-31,4.402,1.02
2023-06-01,4.41,0.94
2023-06-02,4.463,0.96
2023-06-05,4.445,0.5
2023-06-06,4.408,0.57
2023-06-07,4.396,0.52
2023-06-08,4.428,0.53
2023-06-09,4.444,0.73
2023-06-12,4.448,0.64
2023-06-13,4.477,0.49
2023-06-14,4.477,0.62
2023-06-15,4.542,0.71
2023-06-16,4.579,0.84
2023-06-19,4.549,0.56
2023-06-20,4.542,0.49
2023-06-21,4.487,0.68
2023-06-26,4.443,0.89
2023-06-27,4.469,0.55
2023-06-28,4.477,0.64
2023-06-29,4.459,0.42
2023-06-30,4.482,0.74
2023-07-03,4.527,0.66
2023-07-04,4.534,0.35
2023-07-05,4.507,0.38
2023-07-06,4.479,0.48
2023-07-07,4.468,0.42
2023-07-10,4.484,0.6
2023-07-11,4.51,0.82
2023-07-12,4.491,0.54
2023-07-13,4.554,0.8
2023-07-14,4.552,0.5
2023-07-17,4.524,0.62
2023-07-18,4.518,0.37
2023-07-19,4.516,0.7
2023-07-20,4.488,1.21
2023-07-21,4.49,1.01
2023-07-24,4.473,0.63
2023-07-25,4.585,1.59
2023-07-26,4.576,0.82
2023-07-27,4.572,0.84
2023-07-28,4.668,2.08
2023-07-31,4.684,2.49
2023-08-01,4.666,1.58
2023-08-02,4.637,1.1
2023-08-03,4.673,1.03
2023-08-04,4.694,1.98
2023-08-07,4.663,1.78
2023-08-08,4.648,1.55
2023-08-09,4.64,1.85
2023-08-10,4.645,1.3
2023-08-11,4.55,1.79
2023-08-14,4.523,1.44
2023-08-15,4.519,1.13
2023-08-16,4.489,1.19
2023-08-17,4.502,1.61
2023-08-18,4.452,1.77
2023-08-21,4.4,1.53
2023-08-22,4.423,1.85
2023-08-23,4.368,1.5
2023-08-24,4.391,1.32
2023-08-25,4.384,1.63
2023-08-28,4.437,3.92
2023-08-29,4.459,3.05
2023-08-30,4.458,1.44
